Date,Food,Clths,Durbl,Chems,Cnsum,Cnstr,Steel,FabPr,Machn,Cars,Trans,Utils,Rtail,Finan,Other,Mkt,RF
1926-07-01,   0.51,   6.05,  -1.62,   8.48,   1.41,   2.32,   4.06,   8.79,   3.79,  15.36,   1.84,   7.04,   0.14,  -0.02,   1.16,   2.89   0.22,   0.22
1926-08-01,   3.06,   0.13,  -1.96,   5.66,   5.86,   4.33,   2.18,  -5.60,   2.36,   3.98,   4.54,  -1.70,  -0.69,   4.26,   3.03,   2.64   0.25,   0.25
1926-09-01,   1.32,   0.27,   0.23,   5.57,   1.22,  -0.08,   0.16,  -4.13,  -0.66,   5.77,   0.33,   2.05,   0.21,  -1.63,   1.75,   0.38   0.23,   0.23
1926-10-01,  -3.15,   0.36,  -6.05,  -4.76,   0.69,  -4.78,  -3.85,  -5.14,  -3.34,  -8.47,  -2.91,  -3.27,  -2.25,  -5.52,  -0.92,  -3.27   0.32,   0.32
1926-11-01,   6.53,   2.24,  -1.95,   5.25,   4.64,   2.45,   4.21,   3.57,   4.59,  -0.26,   2.20,   4.40,   6.46,   2.54,   1.50,   2.54   0.31,   0.31
1926-12-01,  -0.50,   2.00,   3.81,   5.37,   2.27,   4.33,   3.39,  -3.85,   1.28,  10.81,   3.56,  -0.18,   0.61,   2.16,   1.67,   2.62   0.28,   0.28
1927-01-01,  -0.95,  -1.07,   4.66,   0.41,   0.37,  -2.78,  -0.38,  -2.28,  -0.58,  -1.09,   1.23,  -1.79,  -2.52,  -2.05,   1.75,  -0.05   0.25,   0.25
1927-02-01,   4.71,   4.14,   2.27,   9.77,   1.60,   4.57,   3.67,   6.12,   5.34,   9.61,   5.14,   4.54,   3.62,   2.71,   4.25,   4.17   0.26,   0.26
1927-03-01,   1.95,  -0.93,  -2.49,   6.08,   4.93,   3.93,   1.48,  -9.00,   0.67,   1.75,   0.70,   0.37,  -0.43,   0.90,   3.52,   0.14   0.30,   0.30
1927-04-01,   2.93,   4.43,   2.31,   3.08,   4.13,  -0.71,  -0.34,   5.14,   4.98,   3.10,   0.63,   1.71,   4.49,   2.46,  -1.81,   0.47   0.25,   0.25
1927-05-01,   6.34,   6.25,   8.27,   4.00,  11.14,   5.84,   3.22,   6.40,   7.74,   5.93,   7.44,   9.23,   2.35,  10.03,   3.54,   5.45   0.30,   0.30
1927-06-01,  -2.09,   1.27,  -3.52,  -1.86,  -2.42,  -4.46,  -3.52,   6.41,   1.65,  -2.97,  -2.22,  -3.58,  -0.60,  -0.07,  -2.44,  -2.38   0.26,   0.26
1927-07-01,   4.94,   5.76,   5.94,  17.90,   4.87,   6.74,  10.35,  10.83,  12.01,  13.73,   6.60,   5.50,   9.90,   6.49,   4.60,   7.26   0.30,   0.30
1927-08-01,   2.47,   0.96,   0.75,   2.14,   3.47,  -0.73,   4.36,   2.66,   4.06,   7.47,  -1.08,   3.26,   7.39,   1.83,   1.61,   1.99   0.28,   0.28
1927-09-01,   5.52,   3.93,   2.84,   5.88,   4.51,   5.85,   2.96,  -0.04,   2.08,   5.95,   4.25,   8.29,   7.54,   5.94,   6.91,   4.77   0.21,   0.21
1927-10-01,  -2.74,   6.99,  -5.33,  -7.54,   0.85,  -4.86,  -7.84,  -0.91,  -7.33,  -4.31,  -4.85,  -4.35,  -4.91,   4.01,  -1.48,  -4.29   0.25,   0.25
